dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
vietnamOperations,vietnamoperations,military_service_country_info,country_flying_mission,3,varchar,30,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,source_info,call_sign,3,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,source_info,tgt_control,4,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,source_info,tgt_id,5,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,source_info,release_altitude,6,smallint,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,thor_data_viet_id,1,int,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,country_flying_mission,2,varchar,30,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,mil_service,3,varchar,6,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,msn_date,4,date,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,source_id,5,int,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,source_record,6,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,valid_aircraft_root,7,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,takeoff_location,8,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgtlatdd_ddd_wgs84,9,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgtlonddd_ddd_wgs84,10,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgt_type,11,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,num_weapons_delivered,12,smallint,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,time_on_target,13,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,weapon_type,14,varchar,30,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,weapon_type_class,15,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,weapon_type_weight,16,smallint,NULL,NULL,NULL,NULL,NULL
